"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","170","","ALICE.Doe52@ozon.ru","","ALICE.Doe52@ozon.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:11:28 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","163","","3897278~2580@mail.ru","","3897278~2580@mail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","165","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email без api_key","Получить ответ на валидный email без api_key",""
"failed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","165","","Bill_Doe@@yahoo.com","","Bill_Doe@@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","178","","ИванИванов@gmail.ru","","ИванИванов@gmail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:11:28 GMT 2022","Tue Jun 14 22:11:28 GMT 2022","207","","Отправляем email","","Отправляем email","Получить ответ на валидный email","Получить ответ на валидный email",""
"failed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:29 GMT 2022","170","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@yahoo.com","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:11:28 GMT 2022","Tue Jun 14 22:11:28 GMT 2022","161","","Murphy39@gmail.com","","Murphy39@gmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:11:28 GMT 2022","Tue Jun 14 22:11:28 GMT 2022","166","","Jeanne16@yandex.ru","","Jeanne16@yandex.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 22:11:29 GMT 2022","Tue Jun 14 22:11:30 GMT 2022","169","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email с несуществующим api_key","Получить ответ на валидный email с несуществующим api_key",""
